instance_id,pecha_text_id,text_id,text_type,title,language,source_link,category_id,version_group_id,log_group_id
tq039qcQ2uhBP9ePIIGcv,8hMtbbtbMIErfGKZjj9Tb,342efe20-9958-4668-8296-ad1ff39e646d,version,དཔལ་ལྡན་ས་གསུམ་མ། ,tib,openpecha.org,dJpr4gMF72E4UpCnJ84sh,a85d4b81-8a54-4599-a599-f3b3e7ff763f,a85d4b81-8a54-4599-a599-f3b3e7ff763f
mtSRnf7rflUAjTunI7hKL,TfoanoHlFnzgYXN8upur4,3b1a97ae-0bb8-4832-926c-6a0b7fb4a063,version,དཔལ་ལྡན་ས་གསུམ་མ།,bo,bdrc.io,dJpr4gMF72E4UpCnJ84sh,a85d4b81-8a54-4599-a599-f3b3e7ff763f,a85d4b81-8a54-4599-a599-f3b3e7ff763f
eUIOFPy66eyjuVEIUZjPF,j0yxt1cCTT8wONy1xwC30,a03dde8a-deb7-4769-9f0f-a8782f3a1a79,version,སྒྲོལ་མ་ཉེར་གཅིག་ལ་བསྟོད་པ། ༼ཁ་སྐད།༽,tib,openpecha.org,dJpr4gMF72E4UpCnJ84sh,d65d09f5-c610-4649-a8a1-d16ea7b244e4,d65d09f5-c610-4649-a8a1-d16ea7b244e4
GtlnR2YuR2vXA1NoCnuKN,AcHTF9PMlVDXJuQU4u0B0,25ded989-2130-44c6-a1a1-7600a6a973c5,version,སྒྲོལ་མ་ཉེར་གཅིག་ལ་བསྟོད་པ། ,en,lotsawahouse.org,dJpr4gMF72E4UpCnJ84sh,d65d09f5-c610-4649-a8a1-d16ea7b244e4,d65d09f5-c610-4649-a8a1-d16ea7b244e4
xlZ1qzHJPu3UqfaF6Dlha,4vggjHX9m1q8Zl4YufoVz,4735b536-b426-4902-9369-3d6d9a073c6a,version,སྒྲོལ་མ་ཉེར་གཅིག་ལ་བསྟོད་པ། ,en,lotsawahouse.org,dJpr4gMF72E4UpCnJ84sh,d65d09f5-c610-4649-a8a1-d16ea7b244e4,d65d09f5-c610-4649-a8a1-d16ea7b244e4
nGJwfdkjXlCQBQsl24HDo,6YWu6oTqP65qWlkbUGOmz,382ad6fa-589e-4f39-819e-ce9ac1295846,version,སྒྲོལ་མ་ཉེར་གཅིག་ལ་བསྟོད་པ། ,en,lotsawahouse.org,dJpr4gMF72E4UpCnJ84sh,d65d09f5-c610-4649-a8a1-d16ea7b244e4,d65d09f5-c610-4649-a8a1-d16ea7b244e4
ATPs43o1O3n8GT3AkqSlA,Z8wWwKxde1ghLXF36pl0o,b2c8b271-f6d3-4d52-bc2e-46a81c0218b9,version,The Excellent Benefits of the Praise,en,openpecha.org,dJpr4gMF72E4UpCnJ84sh,d65d09f5-c610-4649-a8a1-d16ea7b244e4,d65d09f5-c610-4649-a8a1-d16ea7b244e4
P4rtJBlE4hLKy6mgMmbqn,saXjClLpCGt5zM5yIkzLe,b12f640f-eae8-4cf4-b515-105e72330433,version,སྒྲོལ་མ་ཉེར་གཅིག་ལ་བསྟོད་པ།,bo,bdrc.io,dJpr4gMF72E4UpCnJ84sh,d65d09f5-c610-4649-a8a1-d16ea7b244e4,d65d09f5-c610-4649-a8a1-d16ea7b244e4
ZyCEGdklE9MkvUKxuPvtD,jLoTsSMjE6rC0WRkuoFrZ,6656bb41-ef85-4a7b-b03f-bc011ffe70a7,commentary,སྒྲོལ་མའི་འགྲེལ་བ་བཞུགས།,bo,bdrc.io,dJpr4gMF72E4UpCnJ84sh,8a3360d4-5b3c-4780-8591-5fe16e88c81c,
XQrslJEpxtpWST06r80xq,j47FrME72gOsiLCM0GaBk,0edbd855-2713-4eb7-9ca0-22fa8b4199fd,commentary,སྒྲོལ་མར་ཕྱག་འཚལ་ཉེར་གཅིག་གིས་བསྟོད་པའི་རྣམ་བཤད་ཡིད་འཕྲོག་ཨུཏྤལའི་ཆུན་པོ་ཞེས་བྱ་བ་བཞུགས་སོ།,bo,bdrc.io,dJpr4gMF72E4UpCnJ84sh,2cec583c-4ce8-4c44-8a72-d13d21eef59e,
